name,Age_group,d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Burkholderiales;  f__Neisseriaceae;  g__Neisseria,d__Bacteria;  p__Firmicutes;  c__Bacilli;  o__Lactobacillales;  f__Streptococcaceae;  g__Streptococcus,d__Bacteria;  p__Proteobacteria;  c__Gammaproteobacteria;  o__Enterobacterales;  f__Pasteurellaceae;  g__Haemophilus,d__Bacteria;  p__Firmicutes;  c__Negativicutes;  o__Veillonellales-Selenomonadales;  f__Veillonellaceae;  g__Veillonella,d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Micrococcales;  f__Micrococcaceae;  g__Rothia,d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Prevotellaceae;  g__Prevotella_7,d__Bacteria;  p__Bacteroidota;  c__Bacteroidia;  o__Bacteroidales;  f__Porphyromonadaceae;  g__Porphyromonas,d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__Actinomyces,d__Bacteria;  p__Fusobacteriota;  c__Fusobacteriia;  o__Fusobacteriales;  f__Leptotrichiaceae;  g__Leptotrichia,d__Bacteria;  p__Fusobacteriota;  c__Fusobacteriia;  o__Fusobacteriales;  f__Fusobacteriaceae;  g__Fusobacterium,Other
Sample_1,Young,0.008183175,0.342090766,0.083364216,0.00591953,0.179208526,0.106561564,0.004397079,0.078155831,0.026152105,0.008774126,0.1571925659999999
Sample_5,Young,0.009885422,0.503925264,0.165577921,0.016510388,0.062885156,0.00542253,0.059694072,0.031818339,0.001688037,0.002277694,0.1403147809999999
Sample_58,Young,0.012568644,0.112383015,0.029881146,0.070577771,0.280080955,0.160788408,0.049217521,0.026529507,0.00211411,0.009384588,0.24647480800000005
Sample_102,Young,0.028235685,0.288332132,0.077379303,0.113685494,0.16106646,0.029166898,0.005709218,0.050407405,0.04498642,0.011163461,0.18986784799999998
Sample_54,Young,0.028528765,0.137338887,0.113407733,0.121882532,0.061615844,0.145826784,0.005684795,0.04191554,0.132060149,0.010203814,0.20153529099999998
Sample_101,Young,0.037088507,0.206296925,0.067742925,0.133004259,0.012723794,0.147370416,0.014275917,0.027414814,0.046554649,0.064322841,0.24320475900000002
Sample_104,Young,0.039576751,0.070629279,0.015797788,0.190215245,0.002139284,0.207675092,0.016011717,0.059093602,0.116525145,0.029785413,0.25255060500000004
Sample_14,Young,0.041418764,0.19122807,0.095556827,0.120690313,0.192982456,0.146777269,0.005949657,0.058314264,0.00259344,0.016742944,0.12774570999999996
Sample_53,Young,0.047946631,0.044023063,0.139291884,0.073069958,0.003767458,0.058593343,0.114990737,0.006671107,0.030222925,0.150656703,0.33076588299999987
Sample_12,Young,0.057144804,0.495852158,0.077319286,0.000399205,0.135135925,0.000126577,0.002122605,0.012706418,0.000126577,0.00127551,0.21779081700000003
Sample_2,Young,0.062740164,0.284728126,0.121535689,0.01537049,0.314335589,0.011289829,0.029652804,0.011879258,0.011527868,0.018317634,0.11862261500000006
Sample_15,Young,0.082598007,0.22108082,0.008867817,0.036371219,0.024671847,0.012182273,0.017494183,0.160476755,0.022937794,0.004082708,0.409236826
Sample_7,Young,0.08424956,0.259610048,0.1605867,0.0183639,0.02997272,0.007192036,0.055056273,0.069948156,0.010982912,0.09556314,0.208474074
Sample_8,Young,0.085449446,0.386975059,0.031744834,0.046988391,0.016199424,0.097586437,0.025141808,0.109849199,0.012841314,0.006087361,0.1811369370000001
Sample_60,Young,0.090990556,0.01994899,0.047714896,0.366912525,0.028317364,0.22518784,0.001557869,0.007679051,0.014062177,0.003970497,0.19365823800000004
Sample_110,Young,0.103899856,0.260257629,0.112596238,0.052299461,0.03704118,0.024364782,0.076971832,0.017019928,0.019928043,0.03524225,0.26037880099999994
Sample_3,Young,0.107341386,0.486364206,0.099494274,0.002842096,0.083528379,0.0,0.003824292,0.021106746,0.000929951,0.00243459,0.192133691
Sample_13,Young,0.12586762,0.453938624,0.108323242,0.007354461,0.031470597,0.00088608,0.093540479,0.038825058,0.00132912,0.002525327,0.135939072
Sample_109,Young,0.130721035,0.138270337,0.036267461,0.249650781,0.059798685,0.070542317,0.01099014,0.034778143,0.071672145,0.012037798,0.185271243
Sample_103,Young,0.142394822,0.183267017,0.136654464,0.124250623,0.026059738,0.045116452,0.031439334,0.019703963,0.031693989,0.019109767,0.24030962300000006
Sample_9,Young,0.142678335,0.227329154,0.046044465,0.03506684,0.000677124,0.019934134,0.135783977,0.01277303,0.000933611,0.008146013,0.3706333019999999
Sample_57,Young,0.161564771,0.21901435,0.20605168,0.043671418,0.051497706,0.008374006,0.037816916,0.010990884,0.050000609,0.03897321,0.17204427000000005
Sample_52,Young,0.174913824,0.150864985,0.193759866,0.199848587,0.04616475,0.056151542,0.016091621,0.01850778,0.017976225,0.009487452,0.11623298100000001
Sample_105,Young,0.186833863,0.102643512,0.169479245,0.083442408,0.055043942,0.015753553,0.086235509,0.010821803,0.014573205,0.065059368,0.21011367100000003
Sample_10,Young,0.196346975,0.185276453,0.141947867,0.023379357,0.022537304,0.0062411,0.144956969,0.045384187,0.017584051,0.056021299,0.16032415599999997
Sample_16,Young,0.199841507,0.236217291,0.070995711,0.012353161,0.260706072,0.006013425,0.009789297,0.100860837,0.000932314,0.002206476,0.10008408699999999
Sample_55,Young,0.203381211,0.274544398,0.102308107,0.014975715,0.080638466,0.008790319,0.083461331,0.004556021,0.006382581,0.035711321,0.18525049199999996
Sample_51,Young,0.209884191,0.177910387,0.18008496,0.090156266,0.016359866,0.100447557,0.026082229,0.009191362,0.011252149,0.014425508,0.164205624
Sample_107,Young,0.216732279,0.418884515,0.107211051,0.022029184,0.013660687,0.014061432,0.020885882,0.006800877,0.029560831,0.008132764,0.14204028399999996
Sample_61,Young,0.232023135,0.083864958,0.047320935,0.024943949,0.031518407,0.05152339,0.112664768,0.005393872,0.021672967,0.047050159,0.342023642
Sample_106,Young,0.235363991,0.123157854,0.114542678,0.057251759,0.011513008,0.031497605,0.080081975,0.023874479,0.02735971,0.088031432,0.20732582899999993
Sample_4,Young,0.246978797,0.24576308,0.063304146,0.033446704,0.033301976,0.022910486,0.044923656,0.021955279,0.006816702,0.045705189,0.2348938149999999
Sample_59,Young,0.249868377,0.081469493,0.028995964,0.111732933,0.013435251,0.15081021,0.021371605,0.067468752,0.053643508,0.028488973,0.19271495499999997
Sample_11,Young,0.290376271,0.142566724,0.083920823,0.039481662,0.213588539,0.013909529,0.053367414,0.054817809,0.002377697,0.009035249,0.096558413
Sample_111,Young,0.299384974,0.155558265,0.144273754,0.112005202,0.060120838,0.028570267,0.027242678,0.020035764,0.00709854,0.026050557,0.11965896200000002
Sample_56,Young,0.321795468,0.029229593,0.074581202,0.113798947,0.00778356,0.03318886,0.077085739,0.008743382,0.065732839,0.065762834,0.20229775900000005
Sample_6,Young,0.323581867,0.15146272,0.096387787,0.049511539,0.207123273,0.013069982,0.043335907,0.037825751,0.003819842,0.005709798,0.06817132500000003
Sample_108,Young,0.336809201,0.124201938,0.141315761,0.061250106,0.046260425,0.00809829,0.022110383,0.013022436,0.018598308,0.020179345,0.208153824
Sample_39,Middle-aged,0.001365021,0.48448507,0.000511883,0.143717246,0.065155393,0.055405241,0.00733699,0.119073736,0.006410725,0.004826325,0.11171270000000007
Sample_113,Middle-aged,0.003599055,0.095639344,0.049261,0.301391009,0.026975856,0.132397465,0.037346592,0.047785558,0.011368579,0.035214451,0.2590213620000001
Sample_32,Middle-aged,0.003890342,0.329086566,0.006916164,0.00798544,0.047184621,0.002639063,0.005687635,0.01854169,0.002229553,0.000295757,0.5755434319999999
Sample_22,Middle-aged,0.004488213,0.318423461,0.050394353,0.052224498,0.052268073,0.076800732,0.002767005,0.13924354,0.000130725,0.003529566,0.2997302029999999
Sample_24,Middle-aged,0.005553758,0.223282649,0.003396959,0.077483015,0.034400949,0.065351019,0.018791114,0.172975305,0.03059959,0.016283835,0.3518817600000002
Sample_136,Middle-aged,0.013300636,0.159884728,0.046330549,0.185987226,0.04699558,0.12769996,0.043282486,0.049558724,0.029455367,0.031256494,0.266248328
Sample_41,Middle-aged,0.015379066,0.067172744,0.00427925,0.009361884,0.024790136,0.006066369,0.009329092,0.042710519,0.000262329,0.001541186,0.819107764
Sample_71,Middle-aged,0.015889232,0.044007816,0.015294129,0.226942265,0.028773197,0.104847108,0.007498289,0.070648562,0.141158267,0.007686738,0.3372543459999999
Sample_116,Middle-aged,0.026446664,0.114326727,0.028665052,0.252055271,0.021009439,0.139787441,0.010352477,0.059345503,0.114080239,0.002870855,0.23106039600000006
Sample_36,Middle-aged,0.045039923,0.168145749,0.012631943,0.002373124,0.125750871,0.002397844,0.003905767,0.011989222,0.000791041,0.0,0.6269743890000001
Sample_75,Middle-aged,0.04555629,0.055628984,0.018386664,0.233206847,0.010968045,0.132618474,0.013163785,0.01471999,0.245315398,0.025080475,0.2053550919999999
Sample_77,Middle-aged,0.048561501,0.252749595,0.165346305,0.060180681,0.102543433,0.017169331,0.047755386,0.012870049,0.03292101,0.042612926,0.21728994500000007
Sample_112,Middle-aged,0.055835288,0.169799322,0.030794892,0.021985927,0.011415168,0.028313787,0.158446703,0.008934063,0.027344279,0.031357832,0.4557722909999998
Sample_97,Middle-aged,0.059829439,0.168808845,0.092455613,0.128386546,0.144622004,0.049793175,0.021913433,0.020815543,0.084615129,0.021192596,0.207567615
Sample_63,Middle-aged,0.062329466,0.107143841,0.155458479,0.211862305,0.038158366,0.14560538,0.017418626,0.054612353,0.006242593,0.006463082,0.19470521899999998
Sample_95,Middle-aged,0.066948419,0.108241893,0.022759877,0.069688393,0.148759903,0.186899823,0.041487341,0.045881638,0.01117961,0.028369069,0.2697838380000001
Sample_73,Middle-aged,0.067034054,0.125684862,0.075757737,0.093119993,0.134908561,0.068119195,0.024873134,0.018745279,0.026724257,0.021819845,0.34321316500000015
Sample_85,Middle-aged,0.067506711,0.084056171,0.049293431,0.121847062,0.17378042,0.177407547,0.028118553,0.014941101,0.019045189,0.0159283,0.2480754950000001
Sample_33,Middle-aged,0.07392757,0.194477514,0.018971543,0.004013211,0.207074004,0.001459349,0.029743846,0.006528669,0.000345635,0.001459349,0.461999203
Sample_121,Middle-aged,0.082096327,0.199979825,0.062689625,0.038309033,0.005470502,0.025730758,0.117363606,0.004919572,0.055597371,0.024551302,0.3832922720000001
Sample_35,Middle-aged,0.083788083,0.46426037,0.035482687,0.058020311,0.111489049,0.005799584,0.063183653,0.041673804,0.005628288,0.006753946,0.12391987400000001
Sample_50,Middle-aged,0.088458647,0.288397634,0.099255853,0.017421527,0.025680137,0.029275574,0.070274452,0.007060131,0.015667389,0.044823115,0.3136861169999998
Sample_64,Middle-aged,0.09550589,0.081670416,0.104116779,0.122463295,0.038458748,0.120044506,0.039595578,0.083702199,0.074039136,0.071124495,0.16927977100000002
Sample_86,Middle-aged,0.096288359,0.038385051,0.012292131,0.046999829,0.012292131,0.025441454,0.098002743,0.005931768,0.017255272,0.048431339,0.5986797630000001
Sample_62,Middle-aged,0.096621393,0.173618831,0.160075402,0.170651071,0.092686935,0.015273817,0.015099811,0.03726618,0.048209193,0.044062062,0.146435108
Sample_38,Middle-aged,0.096669985,0.280095085,0.029256994,0.042077247,0.007436153,0.06580792,0.024584002,0.037912188,0.047054999,0.03590077,0.33320483000000006
Sample_127,Middle-aged,0.102665581,0.09365144,0.02213857,0.284962865,0.016878624,0.09365144,0.003103062,0.032231153,0.163973955,0.006857259,0.17988580000000004
Sample_131,Middle-aged,0.103910674,0.147742421,0.060659654,0.207201024,0.030659786,0.063206937,0.026225138,0.021024984,0.047527288,0.023321499,0.268520784
Sample_42,Middle-aged,0.113356497,0.463236421,0.024781565,0.01126667,0.299678095,0.003142405,0.005850493,0.026110061,0.001839456,0.001813908,0.04892430900000004
Sample_31,Middle-aged,0.118705694,0.04206699,0.05498568,0.067762182,0.016006175,0.015071804,0.06977311,0.034145152,0.000853121,0.001584368,0.5790453019999999
Sample_126,Middle-aged,0.126093017,0.142858953,0.099607147,0.088049677,0.040007604,0.043720694,0.015384615,0.035622861,0.052236725,0.039526042,0.316892467
