taxonomy,Sample_1,Sample_2,Sample_3,Sample_4,Sample_5,Sample_6,Sample_7,Sample_8,Sample_9,Sample_10,Sample_11,Sample_12,Sample_13,Sample_14,Sample_15,Sample_16,Sample_17,Sample_18,Sample_19,Sample_20,Sample_21,Sample_22,Sample_23,Sample_24,Sample_25,Sample_26,Sample_27,Sample_28,Sample_29,Sample_30,Sample_31,Sample_32,Sample_33,Sample_34,Sample_35,Sample_36,Sample_37,Sample_38,Sample_39,Sample_40,Sample_41,Sample_42,Sample_43,Sample_44,Sample_45,Sample_46,Sample_47,Sample_48,Sample_49,Sample_50,Sample_51,Sample_52,Sample_53,Sample_54,Sample_55,Sample_56,Sample_57,Sample_58,Sample_59,Sample_60,Sample_61,Sample_62,Sample_63,Sample_64,Sample_65,Sample_66,Sample_67,Sample_68,Sample_69,Sample_70,Sample_71,Sample_72,Sample_73,Sample_74,Sample_75,Sample_76,Sample_77,Sample_78,Sample_79,Sample_80,Sample_81,Sample_82,Sample_83,Sample_84,Sample_85,Sample_86,Sample_87,Sample_88,Sample_89,Sample_90,Sample_91,Sample_92,Sample_93,Sample_94,Sample_95,Sample_96,Sample_97,Sample_98,Sample_99,Sample_100,Sample_101,Sample_102,Sample_103,Sample_104,Sample_105,Sample_106,Sample_107,Sample_108,Sample_109,Sample_110,Sample_111,Sample_112,Sample_113,Sample_114,Sample_115,Sample_116,Sample_117,Sample_118,Sample_119,Sample_120,Sample_121,Sample_122,Sample_123,Sample_124,Sample_125,Sample_126,Sample_127,Sample_128,Sample_129,Sample_130,Sample_131,Sample_132,Sample_133,Sample_134,Sample_135,Sample_136,Sample_137,Sample_138,Sample_139,Sample_140,Sample_141,Sample_142,Sample_143,Sample_144,Sample_145,Sample_146,Sample_147,Sample_148,Sample_149,Sample_150
d__Bacteria;  p__Acidobacteriota;  c__Blastocatellia;  o__Pyrinomonadales;  f__Pyrinomonadaceae;  g__RB41,0,0,0,0,0,0,0,0,0,0,0,0,2.95E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Acidimicrobiia;  o__Microtrichales;  f__Iamiaceae;  g__Iamia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.93E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Acidimicrobiia;  o__Microtrichales;  f__uncultured;  g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__Actinomyces,0.078155831,0.011879258,0.021106746,0.021955279,0.031818339,0.037825751,0.069948156,0.109849199,0.01277303,0.045384187,0.054817809,0.012706418,0.038825058,0.058314264,0.160476755,0.100860837,0.0365906,0.031688857,0.039309325,0.029252849,0.026013083,0.13924354,0.015068323,0.172975305,0.016631203,0.102692589,0.043762766,0.159163246,0.040899841,0.160285277,0.034145152,0.01854169,0.006528669,0.018603102,0.041673804,0.011989222,0.058874295,0.037912188,0.119073736,0.062250258,0.042710519,0.026110061,0.00401307,0.037971422,0.006439373,0.013664996,0.026439805,0.033770733,0.00862127,0.007060131,0.009191362,0.01850778,0.006671107,0.04191554,0.004556021,0.008743382,0.010990884,0.026529507,0.067468752,0.007679051,0.005393872,0.03726618,0.054612353,0.083702199,0.00921121,0.02614486,0.0054984,0.004575116,0.010373154,0.024781895,0.070648562,0.007617528,0.018745279,0.016136549,0.01471999,0.025619086,0.012870049,0.011989577,0.028312117,0.029138483,0.057148219,0.010505513,0.022383922,0.005613991,0.014941101,0.005931768,0.026357568,0.007376022,0.017449261,0.006669585,0.027755132,0.023417584,0.002270924,0.021929897,0.045881638,0.011446162,0.020815543,0.008591975,0.007066524,0.008732122,0.027414814,0.050407405,0.019703963,0.059093602,0.010821803,0.023874479,0.006800877,0.013022436,0.034778143,0.017019928,0.020035764,0.008934063,0.047785558,0.025232568,0.01070648,0.059345503,0.016814584,0.037976541,0.012358517,0.041465273,0.004919572,0.010932146,0.013976651,0.035572431,0.003229659,0.035622861,0.032231153,0.038459231,0.009203711,0.007022265,0.021024984,0.015265223,0.010093709,0.008982085,0.033983249,0.049558724,0.013884964,0.007142037,0.036505162,0.007057196,0.016781642,0.060613944,0.002360488,0.013320759,0.01796655,0.010415556,0.024665779,0.007365967,0.020369126,0.011099218
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__Arcanobacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.60E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__F0332,0.000140226,0,0.000156733,0.00020262,6.94E-05,0.000106476,0,0,0,0,0.000439874,0.000262891,0.00014768,0,0.00019755,0.00043508,0.000559775,0,0,0.00024646,0.000152918,0.00366029,0,0.006173838,0,0,0,0.003205867,0.00071558,0.000323199,0.000264061,0.001706291,0.00088329,0,0,0,5.39E-05,0.00038603,0.005728215,0.000150788,0.000245934,0.000229932,9.49E-05,0.000726165,0.000736566,0,0.000753466,0.000321918,0,0.000403125,0.000733286,0.00120808,5.20E-05,0.001990988,0.000332102,0.001679689,0.000632919,0,0.000409492,0.000179224,0.000140804,0.000193339,0.000661467,0.002479259,0.00034084,0.000272586,5.37E-05,0.001006705,0.000742812,0.00177085,0.001537348,0.00010364,0.006851282,0.000203891,0.000383722,0,3.71E-05,0,0.004493987,0.000108321,0.000281518,0.000138687,0.000441341,2.69E-05,4.44E-05,0.000497171,0.002179208,0.000262388,0.00018563,0.000358152,0.005984585,0.000406791,0,0.000114816,0,8.40E-05,0.000365963,0.000386032,0,0,3.61E-05,0,0.000392594,0.000477225,0.00010518,0.000287173,0.000306452,0.000374139,0.002444536,0,0,0.000469116,0.000230271,0.000312834,0.000968286,0.000565471,0.000123094,0.000171231,0.001279102,0.001063886,0.000628526,0.004917984,0.000246647,0.000339202,9.05E-05,0.00613357,0.000518873,0.001079978,0.000409661,0,0.003273193,0.001052435,0.001700709,0.000197048,0.00017939,0.000581903,8.48E-05,5.74E-05,0.000390921,0.000317808,0.001586184,0.001418214,0.000858359,0,0.000413791,0.000125956,0.000384377,0.000549081,0.000245567,0.000848594
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__Mobiluncus,0,0,0,0,0,0,3.54E-05,5.03E-05,2.05E-05,8.67E-05,0,0,0,0,0,0,0.000205251,0,0,9.48E-05,0,0,0,0,0,0.000215063,9.46E-05,0,0,0.00012928,0,0,0,0,0,0,0,0.000365712,0,0,0,0,2.71E-05,0,0,0,0,0,0,0.000370439,0,0,0.000135295,0,0,0,0,0,0.00159897,0,7.58E-05,0,4.13E-05,0,0,3.12E-05,0,0.002013411,0,5.00E-05,0,0,0,0,0.000149225,0,0,0,0,0,0,0,0.00031686,0,0,0,0.001064952,0,0.000167951,0,0,0.000623746,0,0.00021323,0,4.20E-05,0,0,0,0,0.000577534,0,0,4.94E-05,0,0.000287173,0,0,0,0,0.000135468,3.13E-05,0.001509556,0,6.46E-05,0,7.39E-05,0,7.36E-05,0,0,0,0,3.28E-05,0,0,0,0,1.82E-05,0,0,0,0,0,0,0.000332516,0,0,0,0,0,0,0,0,0,0,2.81E-05,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__unclassified_Actinomycetaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,3.81E-05,0,0,0,0,0,0,0.000169909,8.71E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000142221,0,0,6.56E-05,0,0,0.000140548,0,0,0.000150693,0,0,0,0,0.000982571,0,0,0,0,0,0,7.80E-05,0,0,0,0.000165367,0,0,0,0,4.49E-05,0,0.000170082,0,0,0.000521293,0,0,0,0,0,0.000244238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000175299,5.22E-05,0,0,0,0,0,0,0,0,0,0.00018849,0,0,0.000266863,0,0,0.000266638,0,0,0,0.000367507,0.000234001,0,0,0,0,0,5.10E-05,0,0.000134543,0.000180113,0,0,0,0,0,0,0,0,0,0,0.000637504,0,0.000155095,0.000540014
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Actinomycetales;  f__Actinomycetaceae;  g__uncultured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.86E-05
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Alloscardovia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000115319,0,0,0,0,0,0,0,0,0,0,0.001365021,0,0,0,0,0.00035137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00123053,4.24E-05,0,0,0,0,0,0,0,0,0,0.003351727,0,0,0.001043947,0,0,0,0,0,0,0,0,0,0,0,6.00E-05,0,0,0,0,0,0,0,0,0,9.19E-05,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;  p__Actinobacteriota;  c__Actinobacteria;  o__Bifidobacteriales;  f__Bifidobacteriaceae;  g__Bifidobacterium,0,0,0,4.34E-05,0,7.99E-05,0,0,0,0,0,0,8.86E-05,0,0,0,0,0,0,0,0,0.000152512,0,0.003612639,0,0,0,0.000415148,0.000134171,0.000107733,0,0.000910022,0,0,0,0.000692161,0,0,0.000121877,0,0,0,0,0.000409932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.58E-05,0,0,0,0.000178941,0,0,0,0,0,0.000138857,0,0.000138302,0,0,0,0,0,0,0,0.000168911,0,0,0,0,0.000488599,0,0,0.000300545,0,0,0,0,0.000114816,0,0,0.000144167,0,8.01E-05,0,7.22E-05,0.00128596,0,0,0,0,0,0,0.000359491,0,0,0,0.000366728,0,0,7.25E-05,0,0,0,0,3.88E-05,0,0,0,0,0.000532252,4.07E-05,0.000227995,0,0,0.000118785,0,0,0,0,0.000180113,0,0,0,0,0,0,0.000937419,0,4.00E-05,0,0.000403128,0,0,0
