name,Age_group,d__Bacteria; p__Proteobacteria,d__Bacteria; p__Firmicutes,d__Bacteria; p__Bacteroidota,d__Bacteria; p__Actinobacteriota,d__Bacteria; p__Fusobacteriota,d__Bacteria; p__Spirochaetota,d__Bacteria; p__Patescibacteria,d__Bacteria; p__Campylobacterota,d__Bacteria; p__Synergistota,d__Bacteria; p__unclassified_Bacteria,Other
Sample_58,Young,0.059762291,0.266970892,0.293074999,0.308930827,0.011498698,0.020328976,0.022920051,0.015275737,5.16e-05,0.001160183,2.58e-05
Sample_104,Young,0.089751185,0.354561611,0.296471827,0.064935492,0.147396656,0.021820695,0.011338204,0.007503949,0.004706424,0.000822801,0.000691154
Sample_1,Young,0.099169663,0.432746722,0.150071615,0.265216999,0.035026392,0.000761226,0.009645529,0.004056531,0.0,0.003235209,7.01e-05
Sample_8,Young,0.121709492,0.518343835,0.189261593,0.141669497,0.01921795,0.000666591,0.006338905,0.002339358,7.55e-05,0.000377316,0.0
Sample_101,Young,0.129954158,0.411637309,0.25270719,0.045489821,0.112176942,0.006722856,0.023191597,0.016838724,0.00100166,0.000261695,1.8e-05
Sample_14,Young,0.145919146,0.377212052,0.188443936,0.260163997,0.019336384,9.53e-05,0.003928299,0.004023646,0.000114416,0.000762777,0.0
Sample_54,Young,0.147778476,0.368332809,0.199897831,0.110578434,0.142263963,0.002095777,0.013203395,0.014460861,0.000144085,0.001060987,0.00018338
Sample_60,Young,0.156407252,0.462383677,0.293416971,0.039139726,0.018032674,6.89e-05,0.001916316,0.028455229,0.0,0.000179224,0.0
Sample_102,Young,0.16829444,0.454664376,0.060905715,0.251105815,0.056149881,0.000432349,0.002738207,0.005232526,2.22e-05,0.00032149,0.00013303
Sample_12,Young,0.176127512,0.604796308,0.006971491,0.209319988,0.001402088,0.000340785,0.000584203,0.000165524,1.95e-05,0.000272628,0.0
Sample_2,Young,0.19108829,0.337788055,0.102991351,0.328595232,0.030253568,5.67e-05,0.006279684,0.002573084,0.0,0.000374061,0.0
Sample_109,Young,0.192594495,0.454539852,0.140252671,0.106717338,0.083709942,0.004036565,0.007549302,0.008607231,0.00070871,0.001088743,0.000195152
Sample_5,Young,0.204818999,0.608398562,0.079892706,0.09680776,0.003965731,0.001052133,0.003711369,0.000612781,0.000150305,0.000543409,4.62e-05
Sample_53,Young,0.217627958,0.205170368,0.339040027,0.014861686,0.180942073,0.010761193,0.020908353,0.008024062,0.002331245,0.000260184,7.29e-05
Sample_3,Young,0.230606871,0.612795703,0.028776227,0.120371144,0.004064616,0.0,0.002800301,0.000219427,0.0,0.000334364,3.13e-05
Sample_7,Young,0.249217615,0.360806358,0.167070161,0.100712118,0.106546051,7.09e-05,0.012104822,0.001877724,0.0,0.001594294,0.0
Sample_13,Young,0.269117169,0.541557137,0.108086954,0.072776678,0.003854447,0.000472576,0.002658239,0.000531648,0.000383968,0.000502112,5.9e-05
Sample_16,Young,0.276788489,0.299816645,0.042964137,0.365296165,0.00313879,0.004210952,0.002330785,0.003667102,0.001025545,0.000699236,6.22e-05
Sample_110,Young,0.283802174,0.365378521,0.193352348,0.062067744,0.055170292,0.013711015,0.012778927,0.00782954,0.005173089,0.000354193,0.000382156
Sample_59,Young,0.299397461,0.257785231,0.245071466,0.093227775,0.082132481,0.00109198,0.015560712,0.004952908,0.000272995,0.000506991,0.0
